subjectID,sessionType,session,sessionTime,trial,sleepScore,caffeineScore,alertnessScore,trialDuration,typingSpeed,correctedErrorRate,falseSelections
1,MA,1,M,1,1,4,5,399.293313,1.111964527189565,8.823529411764707,19.17808219178082
1,MA,1,M,2,1,4,5,448.210546,1.606387905027117,18.62745098039216,24.75247524752475
1,MA,2,A,1,1,3,4,311.774936,1.655040031826035,11.11111111111111,11.11111111111111
1,MA,2,A,2,1,3,4,181.115151,1.523892388218808,16.66666666666666,23.52941176470588
2,MA,1,M,1,2,4,6,373.052926,0.8685094725674395,15.0,21.15384615384615
2,MA,1,M,2,2,4,6,500.850287,1.030247987059654,6.25,7.894736842105263
2,MA,2,A,1,2,4,6,328.722167,1.46019967068421,2.439024390243902,5.172413793103448
2,MA,2,A,2,2,4,6,224.02085,1.446293949871184,2.439024390243902,5.0
3,MA,1,M,1,1,3,4,415.3451,1.357906954963475,10.46511627906977,18.9873417721519
3,MA,1,M,2,1,3,4,427.452209,1.235225807430556,17.44186046511628,22.35294117647059
3,MA,2,A,1,1,3,4,365.571148,1.313013903383863,11.84210526315789,17.56756756756757
3,MA,2,A,2,1,3,4,361.056807,1.528845293311421,5.263157894736842,20.0
4,MA,1,M,1,-1,0,-1,791.964,1.227328514932497,41.7910447761194,24.08759124087591
4,MA,1,M,2,-1,0,-1,400.969012,1.047462490692423,17.91044776119403,55.55555555555556
4,MA,2,A,1,-1,1,0,370.214408,1.328959622770813,18.0327868852459,20.63492063492063
4,MA,2,A,2,-1,1,0,288.802945,1.952888672932334,9.836065573770492,9.836065573770492
5,MA,1,M,1,1,0,1,520.163274,0.5998116660577617,17.10526315789474,20.33898305084746
5,MA,1,M,2,1,0,1,626.131115,0.6324553923502109,11.84210526315789,21.62162162162162
5,MA,2,A,1,1,0,1,623.0200159999999,0.9245288838360534,21.21212121212121,10.1123595505618
5,MA,2,A,2,1,0,1,255.123188,0.705541512753439,12.12121212121212,24.13793103448276
6,MA,1,M,1,-1,4,3,560.39413,1.199156029703595,45.83333333333333,20.0
6,MA,1,M,2,-1,4,3,226.140588,1.804187402219013,6.25,10.63829787234043
6,MA,2,A,1,-1,3,2,253.527728,1.514627228466308,10.41666666666667,7.272727272727272
6,MA,2,A,2,-1,3,2,215.547638,1.670164439473004,6.25,6.382978723404255
7,MA,1,M,1,1,4,5,604.312393,1.131864922717214,23.14814814814815,28.94736842105263
7,MA,1,M,2,1,4,5,560.693944,1.284123018813986,22.22222222222222,57.94392523364485
7,MA,2,A,1,1,2,3,318.966547,1.881075008157516,17.5438596491228,30.98591549295774
7,MA,2,A,2,1,2,3,302.619251,1.268921255772985,14.03508771929824,12.5
8,MA,1,M,1,2,0,2,543.506549,0.5961289713916585,13.4020618556701,68.33333333333333
8,MA,1,M,2,2,0,2,553.779151,1.126802984318202,16.49484536082474,18.88888888888889
8,MA,2,A,1,2,4,6,339.3164650000001,1.55606949400466,47.36842105263158,17.46031746031746
8,MA,2,A,2,2,4,6,129.676318,0.8328428942592276,0.0,27.77777777777778
9,MA,1,M,1,2,4,6,168.138013,1.712878574341187,8.333333333333332,5.714285714285714
9,MA,1,M,2,2,4,6,152.986257,1.647206781456193,5.555555555555555,5.714285714285714
9,MA,2,A,1,2,2,4,166.619376,0.8642452243969514,10.3448275862069,18.51851851851852
9,MA,2,A,2,2,2,4,149.547359,1.203632088213607,13.79310344827586,14.28571428571428
10,MA,1,M,1,1,3,4,672.072286,1.035602887514395,16.66666666666666,16.23931623931624
10,MA,1,M,2,1,3,4,427.533197,1.459535784305423,13.0952380952381,16.04938271604938
10,MA,2,A,1,1,3,4,445.4037530000001,0.9699065108685782,11.76470588235294,10.71428571428571
10,MA,2,A,2,1,3,4,362.37884,1.059664521250744,1.96078431372549,6.0
11,MA,1,M,1,2,3,5,794.0242219999999,0.9521120125224594,20.0,17.32283464566929
11,MA,1,M,2,2,3,5,512.317722,1.030610453877682,16.47058823529412,50.0
12,MA,1,M,1,-1,3,2,271.753688,1.589674838193916,8.333333333333332,11.53846153846154
12,MA,1,M,2,-1,3,2,320.041706,1.499804528601032,11.66666666666667,13.79310344827586
12,MA,2,A,1,-1,3,2,151.824076,1.106543865941262,17.24137931034483,20.0
12,MA,2,A,2,-1,3,2,160.298702,1.122903665183764,6.896551724137931,11.53846153846154
13,MA,1,M,1,1,0,1,472.27207,1.397499538772217,14.77272727272727,15.38461538461539
13,MA,1,M,2,1,0,1,443.527407,1.190456309276058,15.90909090909091,12.64367816091954
13,MA,2,A,1,1,2,3,505.758613,1.186336692203796,10.60606060606061,11.62790697674419
13,MA,2,A,2,1,2,3,325.05958,1.661233919024937,9.090909090909092,10.76923076923077
14,AM,1,A,1,1,0,1,893.777108,0.9532578003776754,31.18279569892473,23.64864864864865
14,AM,1,A,2,1,0,1,476.185488,1.310413726845872,15.05376344086022,20.22471910112359
14,AM,2,M,1,1,0,1,484.7310680000001,1.1140197846778,14.86486486486486,15.90909090909091
14,AM,2,M,2,1,0,1,350.425618,1.643715443201415,12.16216216216216,12.5
15,AM,1,A,1,1,0,1,664.9531430000001,1.010597524162691,19.71830985915493,24.21875
15,AM,1,A,2,1,0,1,313.284041,1.83858711143221,9.859154929577464,10.0
16,AM,1,A,1,1,3,4,531.029046,1.378455671142328,16.37931034482759,19.1304347826087
16,AM,1,A,2,1,3,4,539.221737,1.446529222541338,12.06896551724138,12.28070175438596
16,AM,2,M,1,2,0,2,317.443694,1.247465322149382,2.857142857142857,16.39344262295082
16,AM,2,M,2,2,0,2,298.856775,1.927344628543221,15.71428571428571,11.59420289855072
17,AM,1,A,1,1,0,1,650.3602340000001,0.9963708820487323,11.76470588235294,24.57627118644068
17,AM,1,A,2,1,0,1,713.234858,0.925361390567369,10.92436974789916,27.11864406779661
17,AM,2,M,1,1,0,1,722.236269,0.9802886262971653,20.93023255813954,26.98412698412698
17,AM,2,M,2,1,0,1,458.593479,1.334515269023265,9.30232558139535,24.70588235294118
18,AM,1,A,1,-1,2,1,394.918964,1.18505324550583,13.04347826086956,19.23076923076923
18,AM,1,A,2,-1,2,1,308.610839,1.749776520325004,4.347826086956522,19.11764705882353
18,AM,2,M,1,-1,0,-1,328.638905,1.752683541834464,6.60377358490566,12.85714285714286
18,AM,2,M,2,-1,0,-1,505.333881,1.306067186102647,13.20754716981132,19.0
19,AM,1,A,1,-1,0,-1,349.739142,1.544007905183229,8.51063829787234,4.477611940298507
19,AM,1,A,2,-1,0,-1,268.354915,1.117922509449846,12.76595744680851,15.21739130434783
20,AM,1,A,1,1,1,2,398.430772,1.566144092906559,10.29411764705882,7.228915662650602
20,AM,1,A,2,1,1,2,301.723987,1.789715180980954,5.88235294117647,5.970149253731343
20,AM,2,M,1,1,0,1,282.668579,1.188671203529841,12.98701298701299,12.72727272727273
20,AM,2,M,2,1,0,1,356.143029,1.718410723125511,11.68831168831169,10.81081081081081
21,AM,1,A,1,1,0,1,975.280816,0.9843318808805526,47.5609756097561,29.16666666666667
21,AM,1,A,2,1,0,1,453.7996869999999,1.375056038767167,15.85365853658537,19.71830985915493
21,AM,2,M,1,-1,0,-1,845.544873,1.050210377184795,31.2,34.88372093023256
21,AM,2,M,2,-1,0,-1,793.3704620000001,0.8772698674027518,22.4,32.32323232323233
22,AM,1,A,1,1,2,3,380.00401,1.168408722844793,13.43283582089552,11.26760563380282
22,AM,1,A,2,1,2,3,307.0069,1.798005191414265,7.462686567164178,7.575757575757576
22,AM,2,M,1,-1,1,0,289.621122,1.698771127611335,5.88235294117647,10.3448275862069
22,AM,2,M,2,-1,1,0,233.69124,1.745893427584192,5.88235294117647,8.0
23,MA,1,M,1,1,4,5,861.956299,0.8492309886814807,13.97058823529412,63.82978723404256
23,MA,1,M,2,1,4,5,795.988529,0.7990064892002986,18.38235294117647,69.16666666666667
24,MA,1,M,1,1,0,1,713.5995389999999,0.9921531073186414,11.69590643274854,22.88135593220339
24,MA,1,M,2,1,0,1,991.348568,0.9683778551642593,17.5438596491228,33.92857142857143
24,MA,2,A,1,1,4,5,442.8899,1.083790802183568,12.6984126984127,12.0
24,MA,2,A,2,1,4,5,294.939719,1.708823761373421,7.936507936507936,6.451612903225806
25,AM,1,A,1,1,0,1,649.68386,0.941996619709777,13.70967741935484,25.83333333333334
25,AM,1,A,2,1,0,1,698.085918,1.031391668897696,10.48387096774194,29.26829268292683
25,AM,2,M,1,2,0,2,347.0714,1.936201023766291,10.71428571428571,14.4578313253012
25,AM,2,M,2,2,0,2,388.161484,1.45300351335219,7.142857142857142,11.11111111111111
26,AM,1,A,1,-1,3,2,244.845413,0.9311998015662233,4.0,17.94871794871795
26,AM,1,A,2,-1,3,2,727.6321310000001,1.006002853384164,16.0,27.73109243697479
26,AM,2,M,1,1,4,5,403.999094,1.277230587056713,8.19672131147541,10.29411764705882
26,AM,2,M,2,1,4,5,358.017037,1.106092613128911,11.47540983606557,15.51724137931035
27,MA,1,M,1,1,0,1,462.873015,1.140701624180878,23.18840579710145,23.45679012345679
27,MA,1,M,2,1,0,1,389.072175,0.9561208020080079,20.28985507246377,21.53846153846154
27,MA,2,A,1,1,3,4,357.023045,1.008338271273217,15.06849315068493,17.5438596491228
27,MA,2,A,2,1,3,4,364.419201,1.547668175695276,8.21917808219178,17.64705882352941
